display_name_input,display_name_matched,source_id,issn,works_count,host_org
2D MATERIALS,2D Materials,https://openalex.org/S4210229423,2053-1583,1726,IOP Publishing
3 BIOTECH,3 Biotech,https://openalex.org/S4210190239,2190-5738|2190-572X,3444,Springer Science+Business Media
3D PRINTING AND ADDITIVE MANUFACTURING,3D Printing and Additive Manufacturing,https://openalex.org/S4210174904,2329-7662|2329-7670,535,"Mary Ann Liebert, Inc."
AAPG BULLETIN,AAPG Bulletin,https://openalex.org/S144020083,0149-1423|1522-1423|1558-9153,51679,American Association of Petroleum Geologists
AAPS PHARMSCITECH,AAPS PharmSciTech,https://openalex.org/S1234972,1530-9932,4146,Springer Science+Business Media
AATCC JOURNAL OF RESEARCH,AATCC Journal of Research,https://openalex.org/S4210185648,2330-5517|2472-3444,345,SAGE Publishing
AATCC REVIEW,AATCC Review,https://openalex.org/S97859287,1532-8813|2330-5525,187,
ABDOMINAL RADIOLOGY,Abdominal Radiology,https://openalex.org/S131800149,2366-0058|2366-004X,6766,Springer Nature
ACADEMIC EMERGENCY MEDICINE,Academic Emergency Medicine,https://openalex.org/S171705774,1069-6563|1553-2712,13170,Wiley
ACADEMIC MEDICINE,Academic Medicine,https://openalex.org/S19793444,1040-2446|1938-808X,25068,Lippincott Williams & Wilkins
ACADEMIC PEDIATRICS,Academic Pediatrics,https://openalex.org/S141855577,1876-2859|1876-2867,3346,Elsevier BV
ACADEMIC RADIOLOGY,Academic Radiology,https://openalex.org/S182038535,1076-6332|1878-4046,10053,Elsevier BV
ACAROLOGIA,Acarologia,https://openalex.org/S163259234,0044-586X|2107-7207,2368,EDP Sciences
ACCOUNTS OF CHEMICAL RESEARCH,Accounts of Chemical Research,https://openalex.org/S145378405,0001-4842|1520-4898,7957,American Chemical Society
ACCREDITATION AND QUALITY ASSURANCE,Accreditation and Quality Assurance,https://openalex.org/S177975795,0949-1775|1432-0517,2752,Springer Science+Business Media
ACI MATERIALS JOURNAL,ACI Materials Journal,https://openalex.org/S2764471990,0889-325X|1944-737X,2768,American Concrete Institute
ACI STRUCTURAL JOURNAL,ACI Structural Journal,https://openalex.org/S54133186,0889-3241|1944-7361,3597,American Concrete Institute
ACM COMPUTING SURVEYS,ACM Computing Surveys,https://openalex.org/S157921468,0360-0300|1557-7341,2753,Association for Computing Machinery
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ACM Journal on Emerging Technologies in Computing Systems,https://openalex.org/S96198239,1550-4832|1550-4840,717,Association for Computing Machinery
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ACM SIGCOMM Computer Communication Review,https://openalex.org/S66039016,0146-4833|1943-5819,3142,Association for Computing Machinery
ACM TRANSACTIONS ON ALGORITHMS,ACM Transactions on Algorithms,https://openalex.org/S137348503,1549-6325|1549-6333,924,Association for Computing Machinery
ACM TRANSACTIONS ON APPLIED PERCEPTION,ACM Transactions on Applied Perception,https://openalex.org/S32453091,1544-3558|1544-3965,539,Association for Computing Machinery
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM Transactions on Architecture and Code Optimization,https://openalex.org/S26056741,1544-3566|1544-3973,985,Association for Computing Machinery
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ACM Transactions on Asian and Low-Resource Language Information Processing,https://openalex.org/S4306421405,2375-4699|2375-4702,733,Association for Computing Machinery
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,ACM Transactions on Autonomous and Adaptive Systems,https://openalex.org/S16632050,1556-4665|1556-4703,410,Association for Computing Machinery
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ACM Transactions on Computational Logic,https://openalex.org/S117153874,1529-3785|1557-945X,728,Association for Computing Machinery
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM Transactions on Computer Systems,https://openalex.org/S193109227,0734-2071|1557-7333,558,Association for Computing Machinery
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ACM Transactions on Computer-Human Interaction,https://openalex.org/S89276529,1073-0516|1557-7325,898,Association for Computing Machinery
ACM TRANSACTIONS ON COMPUTING EDUCATION,ACM Transactions on Computing Education,https://openalex.org/S2764465379,1946-6226,437,Association for Computing Machinery
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM Transactions on Database Systems,https://openalex.org/S90119964,0362-5915|1557-4644,1114,Association for Computing Machinery
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM Transactions on Design Automation of Electronic Systems,https://openalex.org/S105046310,1084-4309|1557-7309,1393,Association for Computing Machinery
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ACM Transactions on Embedded Computing Systems,https://openalex.org/S136160450,1539-9087|1558-3465,1728,Association for Computing Machinery
ACM TRANSACTIONS ON GRAPHICS,ACM Transactions on Graphics,https://openalex.org/S185367456,0730-0301|1557-7368,5617,Association for Computing Machinery
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM Transactions on Information Systems,https://openalex.org/S4394735545,1046-8188|1558-2868,0,
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ACM Transactions on Intelligent Systems and Technology,https://openalex.org/S2492086750,2157-6904|2157-6912,1002,Association for Computing Machinery
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,ACM Transactions on Interactive Intelligent Systems,https://openalex.org/S4210173818,2160-6455|2160-6463,380,Association for Computing Machinery
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ACM Transactions on Internet Technology,https://openalex.org/S97833917,1533-5399|1557-6051,806,Association for Computing Machinery
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ACM Transactions on Knowledge Discovery from Data,https://openalex.org/S41523882,1556-4681|1556-472X,946,Association for Computing Machinery
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM Transactions on Mathematical Software,https://openalex.org/S163326656,0098-3500|1557-7295,1815,Association for Computing Machinery
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ACM Transactions on Modeling and Computer Simulation,https://openalex.org/S38703467,1049-3301|1558-1195,726,Association for Computing Machinery
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ACM Transactions on Multimedia Computing Communications and Applications,https://openalex.org/S19610489,1551-6857|1551-6865,1484,Association for Computing Machinery
ACM TRANSACTIONS ON PRIVACY AND SECURITY,ACM Transactions on Privacy and Security,https://openalex.org/S4210174050,2471-2566|2471-2574,214,Association for Computing Machinery
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM Transactions on Programming Languages and Systems,https://openalex.org/S41449414,0164-0925|1558-4593,1236,Association for Computing Machinery
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ACM Transactions on Reconfigurable Technology and Systems,https://openalex.org/S112809824,1936-7406|1936-7414,522,Association for Computing Machinery
ACM TRANSACTIONS ON SENSOR NETWORKS,ACM Transactions on Sensor Networks,https://openalex.org/S170502224,1550-4859|1550-4867,904,Association for Computing Machinery
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM Transactions on Software Engineering and Methodology,https://openalex.org/S142627899,1049-331X|1557-7392,871,Association for Computing Machinery
ACM TRANSACTIONS ON STORAGE,ACM Transactions on Storage,https://openalex.org/S158124317,1553-3077|1553-3093,484,Association for Computing Machinery
ACM TRANSACTIONS ON THE WEB,ACM Transactions on the Web,https://openalex.org/S131231701,1559-1131|1559-114X,422,Association for Computing Machinery
ACOUSTICAL PHYSICS,Acoustical Physics,https://openalex.org/S207226196,1063-7710|1562-6865,3060,Pleiades Publishing
ACOUSTICS AUSTRALIA,Acoustics Australia,https://openalex.org/S156092988,0814-6039|1839-2571,379,Springer Science+Business Media
ACS APPLIED ELECTRONIC MATERIALS,ACS Applied Electronic Materials,https://openalex.org/S4210217399,2637-6113,2386,American Chemical Society
ACS APPLIED ENERGY MATERIALS,ACS Applied Energy Materials,https://openalex.org/S4210188958,2574-0962,7061,American Chemical Society
ACS APPLIED MATERIALS & INTERFACES,ACS Applied Materials & Interfaces,https://openalex.org/S164001016,1944-8244|1944-8252,49744,American Chemical Society
ACS APPLIED NANO MATERIALS,ACS Applied Nano Materials,https://openalex.org/S4210191493,2574-0970,7025,American Chemical Society
ACS APPLIED POLYMER MATERIALS,ACS Applied Polymer Materials,https://openalex.org/S4210221646,2637-6105,2996,American Chemical Society
ACS BIOMATERIALS SCIENCE & ENGINEERING,ACS Biomaterials Science & Engineering,https://openalex.org/S2764739176,2373-9878,3702,American Chemical Society
ACS CATALYSIS,ACS Catalysis,https://openalex.org/S37391459,2155-5435,11740,American Chemical Society
ACS CENTRAL SCIENCE,ACS Central Science,https://openalex.org/S2765035057,2374-7943|2374-7951,1920,American Chemical Society
ACS CHEMICAL BIOLOGY,ACS Chemical Biology,https://openalex.org/S118914585,1554-8929|1554-8937,5191,American Chemical Society
ACS CHEMICAL NEUROSCIENCE,ACS Chemical Neuroscience,https://openalex.org/S180465690,1948-7193,3831,American Chemical Society
ACS EARTH AND SPACE CHEMISTRY,ACS Earth and Space Chemistry,https://openalex.org/S4210178290,2472-3452,1507,American Chemical Society
ACS ENERGY LETTERS,ACS Energy Letters,https://openalex.org/S2764414965,2380-8195,3343,American Chemical Society
ACS INFECTIOUS DISEASES,ACS Infectious Diseases,https://openalex.org/S2764646616,2373-8227,1750,American Chemical Society
ACS MACRO LETTERS,ACS Macro Letters,https://openalex.org/S75495113,2161-1653,3185,American Chemical Society
ACS MATERIALS LETTERS,ACS Materials Letters,https://openalex.org/S4210213087,2639-4979,976,American Chemical Society
ACS MEDICINAL CHEMISTRY LETTERS,ACS Medicinal Chemistry Letters,https://openalex.org/S191852912,1948-5875,3965,American Chemical Society
ACS NANO,ACS Nano,https://openalex.org/S145476921,1936-0851|1936-086X,19844,American Chemical Society
ACS OMEGA,ACS Omega,https://openalex.org/S4210239500,2470-1343,18960,American Chemical Society
ACS PHOTONICS,ACS Photonics,https://openalex.org/S135184319,2330-4022,3877,American Chemical Society
ACS SENSORS,ACS Sensors,https://openalex.org/S2764631046,2379-3694,2961,American Chemical Society
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,ACS Sustainable Chemistry & Engineering,https://openalex.org/S2502047864,2168-0485,13428,American Chemical Society
ACS SYNTHETIC BIOLOGY,ACS Synthetic Biology,https://openalex.org/S54167817,2161-5063,2929,American Chemical Society
ACSMS HEALTH & FITNESS JOURNAL,Acsms Health & Fitness Journal,https://openalex.org/S88806326,,0,
ACTA ACUSTICA,Acta Acustica,https://openalex.org/S4210179158,2681-4617,157,EDP Sciences
ACTA ADRIATICA,Acta Adriatica,https://openalex.org/S2764458511,0001-5113|1846-0453,591,
ACTA ALIMENTARIA,Acta Alimentaria,https://openalex.org/S105252228,0139-3006|1588-2535,1513,Akadémiai Kiadó
ACTA AMAZONICA,Acta Amazonica,https://openalex.org/S142246141,0044-5967|1809-4392,3190,National Institute of Amazonian Research
ACTA ANAESTHESIOLOGICA SCANDINAVICA,Acta Anaesthesiologica Scandinavica,https://openalex.org/S177321322,0001-5172|1399-6576,12116,Wiley
ACTA APPLICANDAE MATHEMATICAE,Acta Applicandae Mathematicae,https://openalex.org/S3372071,0167-8019|1572-9036,3015,Springer Science+Business Media
ACTA ARITHMETICA,Acta Arithmetica,https://openalex.org/S141074886,0065-1036|1730-6264,5263,Polish Academy of Sciences
ACTA ASTRONAUTICA,Acta Astronautica,https://openalex.org/S179591353,0094-5765|1879-2030,12688,Elsevier BV
ACTA ASTRONOMICA,Acta Astronomica,https://openalex.org/S83016894,0001-5237,1496,Copernicus Foundation for Polish Astronomy
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,Acta Biochimica et Biophysica Sinica,https://openalex.org/S145090216,1672-9145|1745-7270,3332,Oxford University Press
ACTA BIOCHIMICA POLONICA,Acta Biochimica Polonica,https://openalex.org/S166203837,0001-527X|1734-154X,3719,Polish Biochemical Society
ACTA BIOETHICA,Acta bioethica,https://openalex.org/S206176358,0717-5906|1726-569X,949,University of Chile
ACTA BIOMATERIALIA,Acta Biomaterialia,https://openalex.org/S173145877,1742-7061|1878-7568,8901,Elsevier BV
ACTA BIOTHEORETICA,Acta Biotheoretica,https://openalex.org/S61528851,0001-5342|1572-8358,1472,Springer Science+Business Media
ACTA BOTANICA BRASILICA,Acta Botanica Brasilica,https://openalex.org/S165027284,0102-3306|1677-941X,2276,Sociedade Botânica do Brasil
ACTA BOTANICA CROATICA,Acta Botanica Croatica,https://openalex.org/S137443597,0365-0588|1847-8476,1548,De Gruyter Open
ACTA BOTANICA MEXICANA,Acta Botanica Mexicana,https://openalex.org/S189988577,0187-7151|2448-7589,1427,"Instituto de Ecología, UNAM"
ACTA CARDIOLOGICA,Acta Cardiologica,https://openalex.org/S18670189,0001-5385|1784-973X,3163,Taylor & Francis
ACTA CARSOLOGICA,Acta Carsologica,https://openalex.org/S189689514,0583-6050|1580-2612,740,
ACTA CHIMICA SINICA,Acta Chimica Sinica,https://openalex.org/S205376447,0567-7351,5088,Science Press
ACTA CHIMICA SLOVENICA,Acta chimica slovenica,https://openalex.org/S93081443,1318-0207|1580-3155,1168,Slovenian Chemical Society
